20.01	0
40.01	0
60.01	0
80.01	0
100.01	0
120.01	1.54E+14
140.01	4.63E+14
160.01	1.34E+15
180.01	2.93E+15
200.01	5.15E+15
220.01	9.98E+15
240.01	1.65E+16
260.01	2.17E+16
280.01	3.12E+16
300.01	3.85E+16
320.01	4.98E+16
340.01	6.16E+16
360.01	7.11E+16
380.01	7.94E+16
400.01	8.55E+16
420.01	9.22E+16
440.01	9.54E+16
460.01	9.66E+16
480.01	9.88E+16
500.01	9.99E+16
520.01	9.77E+16
540.01	9.02E+16
560.01	8.80E+16
580.01	8.01E+16
600.01	8.13E+16
620.01	6.87E+16
640.01	6.04E+16
660.01	5.64E+16
680.01	4.65E+16
700.01	4.50E+16
720.01	3.70E+16
740.01	3.22E+16
760.01	2.80E+16
780.01	2.20E+16
800.01	1.56E+16
820.01	1.52E+16
840.01	1.13E+16
860.01	9.83E+15
880.01	7.82E+15
900.01	6.33E+15
920.01	4.79E+15
940.01	4.12E+15
960.01	2.57E+15
980.01	2.32E+15
1000.01	1.49E+15
1020.01	1.03E+15
1040.01	5.15E+14
1060.01	1.18E+15
1080.01	3.60E+14
1100.01	4.12E+14
1120.01	2.06E+14
1140.01	1.54E+14
1160.01	1.03E+14
1180.01	5.15E+13
1200.01	0
1220.01	0
1240.01	5.15E+13
1260.01	5.15E+13
1280.01	5.15E+13
1300.01	0
1320.01	5.15E+13
1340.01	0
1360.01	0
1380.01	0
1400.01	0
1420.01	0
1440.01	0
1460.01	0
1480.01	0
1500.01	0
1520.01	0
1540.01	0
1560.01	0
1580.01	0
1600.01	0
1620.01	0
1640.01	0
1660.01	0
1680.01	0
1700.01	0
1720.01	0
1740.01	0
1760.01	0
1780.01	0
1800.01	0
1820.01	0
1840.01	0
1860.01	0
1880.01	0
1900.01	0
1920.01	0
1940.01	0
1960.01	0
1980.01	0
2000.01	0
